book_id,title,publisher,stage,grade,term,version,word_count
BEC_2,商务英语词汇,有道词典,bec,0,0,有道,2753
BEC_3,新东方BEC 词汇,新东方,bec,0,0,新东方,2825
CET4_1,四级真题核心词（正序版）,有道考神,cet4,0,0,有道,1162
CET4_2,四级英语词汇（正序版）,有道词典,cet4,0,0,有道,3739
CET4_3,新东方四级词汇,新东方,cet4,0,0,新东方,2607
CET4luan_1,四级真题核心词（图片记忆）,有道考神,cet4,0,0,有道,1162
CET4luan_2,四级英语词汇,有道词典,cet4,0,0,有道,3739
CET6_1,六级真题核心词（正序版）,有道考神,cet6,0,0,有道,1228
CET6_2,六级英语词汇（正序版）,有道词典,cet6,0,0,有道,2078
CET6_3,新东方六级词汇,新东方,cet6,0,0,新东方,2345
CET6luan_1,六级真题核心词（图片记忆）,有道考神,cet6,0,0,有道,1228
GMAT_2,GMAT 词汇（正序版）,有道词典,gmat,0,0,有道,3254
GMAT_3,新东方GMAT 词汇,新东方,gmat,0,0,新东方,3047
GMATluan_2,GMAT 词汇,有道词典,gmat,0,0,有道,3254
GRE_2,GRE 词汇,有道词典,gre,0,0,有道,7199
GRE_3,新东方GRE 词汇,新东方,gre,0,0,新东方,6515
GaoZhong_2,高中英语词汇（正序版）,有道词典,high,0,0,有道,3665
GaoZhong_3,新东方高中词汇,新东方,high,0,0,新东方,2340
GaoZhongluan_2,高考必备词汇（图片记忆）,有道考神,high,0,0,有道,3665
BeiShiGaoZhong_1,北师大版高中必修一,北师版,high,10,1,北师版,226
PEPGaoZhong_1,人教版高中英语-必修1,人教版,high,10,1,人教版,311
BeiShiGaoZhong_2,北师大版高中必修二,北师版,high,10,2,北师版,244
PEPGaoZhong_2,人教版高中英语-必修2,人教版,high,10,2,人教版,319
BeiShiGaoZhong_3,北师大版高中必修三,北师版,high,11,1,北师版,295
PEPGaoZhong_3,人教版高中英语-必修3,人教版,high,11,1,人教版,366
BeiShiGaoZhong_4,北师大版高中必修四,北师版,high,11,2,北师版,336
PEPGaoZhong_4,人教版高中英语-必修4,人教版,high,11,2,人教版,307
BeiShiGaoZhong_5,北师大版高中必修五,北师版,high,12,1,北师版,327
PEPGaoZhong_5,人教版高中英语-必修5,人教版,high,12,1,人教版,357
BeiShiGaoZhong_6,北师大版高中选修六,北师版,high,12,2,北师版,271
PEPGaoZhong_6,人教版高中英语-选修6,人教版,high,12,2,人教版,391
BeiShiGaoZhong_7,北师大版高中选修七,北师版,high,12,3,北师版,334
PEPGaoZhong_7,人教版高中英语-选修7,人教版,high,12,3,人教版,384
BeiShiGaoZhong_8,北师大版高中选修八,北师版,high,12,4,北师版,364
PEPGaoZhong_8,人教版高中英语-选修8,人教版,high,12,4,人教版,420
BeiShiGaoZhong_9,北师大版高中选修九,北师版,high,12,5,北师版,299
PEPGaoZhong_9,人教版高中英语-选修9,人教版,high,12,5,人教版,352
BeiShiGaoZhong_10,北师大版高中选修十,北师版,high,12,6,北师版,267
PEPGaoZhong_10,人教版高中英语-选修10,人教版,high,12,6,人教版,361
BeiShiGaoZhong_11,北师大版高中选修十一,北师版,high,12,7,北师版,330
PEPGaoZhong_11,人教版高中英语-选修11,人教版,high,12,7,人教版,309
IELTS_2,雅思词汇（正序版）,有道词典,ielts,0,0,有道,3427
IELTS_3,新东方雅思词汇,新东方,ielts,0,0,新东方,3575
IELTSluan_2,雅思词汇,有道词典,ielts,0,0,有道,3427
KaoYan_1,考研必考词汇（正序版）,有道考神,kaoyan,0,0,有道,1340
KaoYan_2,考研英语词汇,有道词典,kaoyan,0,0,有道,4533
KaoYan_3,新东方考研词汇,新东方,kaoyan,0,0,新东方,3728
KaoYanluan_1,考研必考词汇,有道考神,kaoyan,0,0,有道,1340
Level4_1,专四真题高频词（正序版）,有道考神,level4,0,0,有道,595
Level4_2,专四核心词汇（正序版）,有道词典,level4,0,0,有道,4025
Level4luan_1,专四真题高频词,有道考神,level4,0,0,有道,595
Level4luan_2,专四核心词汇,有道词典,level4,0,0,有道,4025
Level8_1,专八真题高频词,有道考神,level8,0,0,有道,684
Level8_2,专八核心词汇（正序版）,有道词典,level8,0,0,有道,12197
Level8luan_2,专八核心词汇,有道词典,level8,0,0,有道,12197
ChuZhong_2,初中英语词汇（正序版）,有道词典,middle,0,0,有道,1418
ChuZhong_3,新东方初中词汇,新东方,middle,0,0,新东方,1803
ChuZhongluan_2,中考必备词汇,有道考神,middle,0,0,有道,1418
PEPChuZhong7_1,人教版初中英语-七年级上册,人教版,middle,7,1,人教版,392
WaiYanSheChuZhong_1,外研社版初中英语-七年级上册,外研社版,middle,7,1,外研社版,619
PEPChuZhong7_2,人教版初中英语-七年级下册,人教版,middle,7,2,人教版,492
WaiYanSheChuZhong_2,外研社版初中英语-七年级下册,外研社版,middle,7,2,外研社版,430
PEPChuZhong8_1,人教版初中英语-八年级上册,人教版,middle,8,1,人教版,419
WaiYanSheChuZhong_3,外研社版初中英语-八年级上册,外研社版,middle,8,1,外研社版,317
PEPChuZhong8_2,人教版初中英语-八年级下册,人教版,middle,8,2,人教版,463
WaiYanSheChuZhong_4,外研社版初中英语-八年级下册,外研社版,middle,8,2,外研社版,263
PEPChuZhong9_1,人教版初中英语-九年级全册,人教版,middle,9,1,人教版,551
WaiYanSheChuZhong_5,外研社版初中英语-九年级上册,外研社版,middle,9,1,外研社版,378
WaiYanSheChuZhong_6,外研社版初中英语-九年级下册,外研社版,middle,9,2,外研社版,127
PEPXiaoXue3_1,人教版小学英语-三年级上册,人教版,primary,3,1,人教版,64
PEPXiaoXue3_2,人教版小学英语-三年级下册,人教版,primary,3,2,人教版,72
PEPXiaoXue4_1,人教版小学英语-四年级上册,人教版,primary,4,1,人教版,84
PEPXiaoXue4_2,人教版小学英语-四年级下册,人教版,primary,4,2,人教版,104
PEPXiaoXue5_1,人教版小学英语-五年级上册,人教版,primary,5,1,人教版,131
PEPXiaoXue5_2,人教版小学英语-五年级下册,人教版,primary,5,2,人教版,156
PEPXiaoXue6_1,人教版小学英语-六年级上册,人教版,primary,6,1,人教版,130
PEPXiaoXue6_2,人教版小学英语-六年级下册,人教版,primary,6,2,人教版,108
SAT_2,SAT 词汇,有道词典,sat,0,0,有道,4423
SAT_3,新东方SAT 词汇,新东方,sat,0,0,新东方,4464
TOEFL_2,TOEFL 词汇,有道词典,toefl,0,0,有道,9212
TOEFL_3,新东方TOEFL 词汇,新东方,toefl,0,0,新东方,4264
