head_word,is_primary,is_middle,is_high,is_zhongkao,is_gaokao,is_cet4,is_cet6,is_kaoyan,is_ielts,is_toefl,is_gre,is_gmat,is_sat,is_bec,is_level4,is_level8,is_phonetic_filled,phonetic_source
(be) bound to (do),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,origin
(be) dying to,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,origin
(be) faced with,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,origin
(be) made of,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,origin
(be) on time,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,origin
(be) scared to death,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,origin
2ussian,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,fuzzy:russian
a,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,origin
a (great) number of,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,origin
a bit,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,fuzzy:habit
a calculated crime,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,origin
a chess set,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,origin
a couple of,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,origin
a few,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,fuzzy:few
a good many,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,origin
a great deal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,origin
a great many,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,origin
a little,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,fuzzy:little
a little bit,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,origin
a lot of,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,fuzzy:aloof
a number of,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,origin
a pair of,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,origin
a series of,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,origin
a set of,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,origin
a wolf in sheep’s clothing,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,origin
a.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,origin
a. 灵巧的， 熟练的,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,origin
a.m.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,origin
abacus,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,origin
abalone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,origin
abandon,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,origin
abandonment,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,origin
