id,en,zh,pos,stage,difficulty
1,"a few","一些",phr.,"小学",A1
2,a.m.,"上午",abbr.,"小学",A1
3,a/an,"一(个)",art.,"小学",A1
4,about,"关于；大约",prep./adv.,"小学",A1
5,above,"在……上面",prep.,"小学",A1
6,act,"表演",v.,"小学",A1
7,active,"活跃的",adj.,"小学",A1
8,actor,"演员",n.,"小学",A1
9,afraid,"害怕的",adj.,"小学",A1
10,after,"在……以后",prep./conj.,"小学",A1
11,afternoon,"下午",n.,"小学",A1
12,again,"再一次",adv.,"小学",A1
13,age,"年龄",n.,"小学",A1
14,ago,"以前",adv.,"小学",A1
15,air,"空气",n.,"小学",A1
16,airport,"机场",n.,"小学",A1
17,all,"全部的；所有",adj./pron.,"小学",A1
18,also,"也",adv.,"小学",A1
19,always,"总是",adv.,"小学",A1
20,amazing,"令人惊奇的",adj.,"小学",A1
21,and,"和，与",conj.,"小学",A1
22,angry,"生气的",adj.,"小学",A1
23,animal,"动物",n.,"小学",A1
24,answer,"回答",n./v.,"小学",A1
25,ant,"蚂蚁",n.,"小学",A1
26,any,"任何",adj./pron.,"小学",A1
27,anything,"任何事物",pron.,"小学",A1
28,anywhere,"任何地方",adv.,"小学",A1
29,apple,"苹果",n.,"小学",A1
30,April,"四月",n.,"小学",A1
31,arm,"手臂",n.,"小学",A1
32,art,"艺术",n.,"小学",A1
33,"art room","美术教室",n.,"小学",A1
34,artist,"艺术家",n.,"小学",A1
35,ask,"问，请求",v.,"小学",A1
36,astronaut,"宇航员",n.,"小学",A1
37,at,"在（某处或某时）",prep.,"小学",A1
38,ate,"吃（过去式）",v.,"小学",A1
39,"ate fresh food","吃新鲜食物",v.,"小学",A1
40,attention,"注意",n.,"小学",A1
41,August,"八月",n.,"小学",A1
42,aunt,"姑母；姨母",n.,"小学",A1
43,autumn,"秋天",n.,"小学",A1
44,baby,"婴儿",n.,"小学",A1
45,back,"背部；后面；回原处",n./adv.,"小学",A1
46,backpack,"背包",n.,"小学",A1
47,bad,"坏的；糟糕的",adj.,"小学",A1
48,badminton,"羽毛球",n.,"小学",A1
49,bag,"包，袋",n.,"小学",A1
50,ball,"球",n.,"小学",A1
51,bamboo,"竹子",n.,"小学",A1
52,banana,"香蕉",n.,"小学",A1
53,"baseball player","棒球运动员",n.,"小学",A1
54,basket,"篮子",n.,"小学",A1
55,basketball,"篮球",n.,"小学",A1
56,bathroom,"浴室",n.,"小学",A1
57,"be (am, is, are)","是",v.,"小学",A1
58,beach,"海滩",n.,"小学",A1
59,bean,"豆",n.,"小学",A1
60,bear,"熊",n.,"小学",A1
61,beautiful,"美丽的",adj.,"小学",A1
62,because,"因为",conj.,"小学",A1
63,become,"开始变得；变成",v.,"小学",A1
64,bed,"床",n.,"小学",A1
65,bedroom,"卧室",n.,"小学",A1
66,bee,"蜜蜂",n.,"小学",A1
67,beef,"牛肉",n.,"小学",A1
68,before,"在……以前",prep./conj.,"小学",A1
69,begin,"开始",v.,"小学",A1
70,behind,"在……后面",prep.,"小学",A1
71,beside,"在……旁边",prep.,"小学",A1
72,best,"最好的（地）",adj./adv.,"小学",A1
73,better,"更好的",adj.,"小学",A1
74,between,"在……之间",prep.,"小学",A1
75,big,"大的",adj.,"小学",A1
76,bigger,"更大的",adj.,"小学",A1
77,"bike (=bicycle)","自行车",n.,"小学",A1
78,bird,"鸟",n.,"小学",A1
79,birthday,"生日",n.,"小学",A1
80,black,"黑色（的）",adj./n.,"小学",A1
81,blackboard,"黑板",n.,"小学",A1
82,blue,"蓝色（的）",adj./n.,"小学",A1
83,board,"写字板",n.,"小学",A1
84,boat,"小船",n.,"小学",A1
85,boating,"划船",n.,"小学",A1
86,body,"身体",n.,"小学",A1
87,book,"书",n.,"小学",A1
88,bookstore,"书店",n.,"小学",A1
89,born,"出生",v.,"小学",A1
90,both,"两个都",pron.,"小学",A1
91,bottle,"瓶子",n.,"小学",A1
92,bought,"买（过去式）",v.,"小学",A1
93,"bought gifts","买礼物",v.,"小学",A1
94,box,"箱子，盒子",n.,"小学",A1
95,boy,"男孩",n.,"小学",A1
96,brave,"勇敢的",adj.,"小学",A1
97,bread,"面包",n.,"小学",A1
98,breakfast,"早餐",n.,"小学",A1
99,breath,"呼吸",n.,"小学",A1
100,bridge,"桥",n.,"小学",A1
101,bring,"带来",v.,"小学",A1
102,broken,"破损的",adj.,"小学",A1
103,brother,"兄，弟",n.,"小学",A1
104,brown,"棕色（的）",adj./n.,"小学",A1
105,brush,"刷子；刷",n./v.,"小学",A1
106,building,"建筑物",n.,"小学",A1
107,bus,"公共汽车",n.,"小学",A1
